ID,Age (Ma),Slat (°N),Slong (°W),n/N,Dg (°),Ig (°),Ds (°),Is (°),k,α95(°),Plat (°N),Plon (°E),vgp_dp,vgp_dm,age,age_sigma,age_unit,citations,comments
BT50,,45.028,109.884,8,265.2,-11.4,267.4,-15.1,38.1,9.9,-7.3,156.5,5.2,10.2,,,,10.1029/2025JB031762,
BT51,,45.027,109.883,8,268.7,5.1,268.1,1.7,47.0,8.2,-0.7,162.1,4.1,8.2,,,,10.1029/2025JB031762,
BT54,,45.102,109.911,7,267.2,-18.5,270.7,-21.8,19.5,14.0,-7.5,151.6,7.8,14.8,,,,10.1029/2025JB031762,
BT5658,,45.102,109.909,6,275.5,7.8,274.4,5.5,44.1,10.2,5.1,158.9,5.1,10.2,,,,10.1029/2025JB031762,
BT64,,45.095,109.909,4,264.2,14.4,262.2,10.2,61.1,11.9,-1.8,169.2,6.1,12,,,,10.1029/2025JB031762,
BT68,,45.034,109.662,8,256.5,5.5,256.1,0.2,35.2,9.5,-9.7,170.3,4.8,9.5,,,,10.1029/2025JB031762,
BT69,,45.004,109.631,6,289.0,-35.3,296.0,-34.5,137.3,5.7,3.6,128.8,3.8,6.5,,,,10.1029/2025JB031762,
BT72,,45.034,109.661,8,263.7,5.9,263.1,1.7,30.1,10.3,-4.3,165.8,5.1,10.3,,,,10.1029/2025JB031762,
J20B24,,44.960,109.388,7,289.6,-29.6,295.2,-28.8,169.2,4.7,5.9,131.9,2.8,5.1,,,,10.1029/2025JB031762,
BT-8 a," ± 3 a,b",44.971,109.445,9,288.3,-21.8,292.3,-21.4,44.0,7.9,7.4,137.0,4.4,8.3,779.5,1.5,Ma,10.3133/pp1580; 10.1130/g19944.1,Paleomagnetic and geochronological results from Harlan et al. (1997 10.3133/pp1580); Geochronological results from Harlan et al. (2003 10.1130/g19944.1)
MM1 a,775 ± 10 a,43.818,110.742,7,285.6,11.5,285.5,1.5,36.0,10.2,15.2,152.6,5.3,10.4,775.0,5.0,Ma,10.3133/pp1580,Paleomagnetic and geochronological results from Harlan et al. (1997)
Gun,779.6 ± 1.4b,65.667,118.143,7,281.0,3.0,281.0,3.0,95.0,6.0,5.9,142.4,3,6,779.6,0.7,Ma,10.1130/g19944.1,Paleomagnetic results from J. K. Park Buchan and Gandhi (1995 no doi); Geochronological results from Harlan et al. (2003 10.1130/g19944.1).
Mar,,64.401,117.132,4,280.4,16.1,280.4,16.1,–,20.0,11.9,147.0,,,,,,,Paleomagnetic results from J. K. Park Buchan and Gandhi (1995 no doi)
Cal_mean,779.5 ± 1.8b,65.011,118.463,3,283.5,30.6,283.5,30.6,,15.3,20.6,146.4,,,779.5,0.9,Ma,10.1130/g19944.1,Geochronological results from Harlan et al. (2003).